Date,Optimized,Equal_Weight,Daily_Opt,Daily_Eq
2019-01-07,1.0000000000000149,1.0008797784125296,1.4913356133117846e-14,0.0008797784125296388
2019-01-08,0.9890252451853483,0.9957294330585177,-0.010974754814666433,-0.00514581817426741
2019-01-09,0.9923212137088954,0.9963450007764275,0.0033325423588448214,0.0006182078157707514
2019-01-10,0.9874634842148763,0.9930608820887534,-0.00489531960710872,-0.0032961661724753115
2019-01-11,0.9853470072715713,0.9880467139877802,-0.002143347047397663,-0.00504920513073346
2019-01-14,0.9928668187110146,0.9990983320224597,0.007631637772225556,0.011185319356080787
2019-01-15,0.9899820901039061,0.9964098748026522,-0.0029054537353292286,-0.0026908835032937602
2019-01-16,0.9850685966043083,0.9953863744853476,-0.004963214535610569,-0.001027188051008872
2019-01-17,0.9834032941350901,0.994920218192007,-0.0016905446736997037,-0.0004683169322883533
2019-01-18,0.9920968745251523,0.9991438925840306,0.008840300253120728,0.00424523928129538
2019-01-21,0.9872040003055476,0.9953697403621321,-0.004931851258927274,-0.0037773860701261134
2019-01-22,0.9778787778456194,0.9783660664419108,-0.009446094684626413,-0.017082771588008198
2019-01-23,0.9675896816480143,0.973463349196316,-0.010521852432745534,-0.005011127648186767
2019-01-24,0.9413740975736556,0.9601058783861416,-0.027093699500502978,-0.01372159601201452
2019-01-25,0.9217795897210426,0.9481449933218123,-0.020814793930613744,-0.01245788129579478
2019-01-28,0.9359942137854962,0.9587004819743569,0.015420849217062257,0.01113277898094836
2019-01-29,0.9365384911694032,0.955363788925288,0.0005814965262507358,-0.0034804332654525625
2019-01-30,0.9529145928079862,0.9706126618236969,0.01748577532369762,0.015961326015467615
2019-01-31,0.9607530302752512,0.9773542017557185,0.008225750268098152,0.006945654221484
2019-02-01,0.952673565422619,0.9721565637785206,-0.008409512744724287,-0.005318069915554565
2019-02-04,0.9560145223900534,0.9720604497403604,0.0035069273344981618,-9.88668304481597e-05
2019-02-05,0.9744066706232465,0.986335014201738,0.01923835653376106,0.014684852639761672
2019-02-06,0.9779072987471571,0.989966803255254,0.0035925740550108816,0.003682104965578423
2019-02-07,0.9772263880670882,0.986695833558871,-0.0006962936885135188,-0.003304120588313916
2019-02-08,0.9692073743492647,0.984810767693036,-0.00820589150655738,-0.0019104832530161733
2019-02-11,0.9743737321161282,0.9848066313503133,0.005330497789838042,-4.200139619052966e-06
2019-02-12,0.968717164869279,0.9804303837362677,-0.005805336351344844,-0.004443763348795842
2019-02-13,0.967027267708827,0.9772686417367531,-0.0017444690996881937,-0.0032248510980102648
2019-02-14,0.9613303594248811,0.9728329287991193,-0.005891155786582524,-0.004538888027503645
2019-02-15,0.9537517903949932,0.959965468890362,-0.007883417969262658,-0.01322679313974396
2019-02-18,0.9568189878811401,0.9572063888859418,0.0032159284176824093,-0.0028741450539981786
2019-02-19,0.9699223711924122,0.964673438354385,0.013694735866696494,0.007800877172512179
2019-02-20,0.9756669503113556,0.9680302803213804,0.0059227205079115785,0.0034797702865352886
