Model,Ticker,Weight,Opt_Return,Opt_Risk
RandomForest,TATA CONSULTANCY SERVICES LTD.,2.1025958751863527e-12,-0.0008883769151429232,0.009089893490686602
RandomForest,ASIAN PAINTS LTD.,0.29999999999774013,-0.0008883769151429232,0.009089893490686602
RandomForest,H D F C BANK LTD.,0.10000000000153397,-0.0008883769151429232,0.009089893490686602
RandomForest,I T C LTD.,2.7106573818487665e-12,-0.0008883769151429232,0.009089893490686602
RandomForest,CIPLA LTD.,0.29999999999759,-0.0008883769151429232,0.009089893490686602
RandomForest,ULTRATECH CEMENT LTD.,0.2999999999983227,-0.0008883769151429232,0.009089893490686602
XGBoost,TATA CONSULTANCY SERVICES LTD.,1.4680756610374601e-12,-0.0016685503243878863,0.009089893490703518
XGBoost,H D F C BANK LTD.,0.10000000000050564,-0.0016685503243878863,0.009089893490703518
XGBoost,I T C LTD.,1.9737068348030304e-12,-0.0016685503243878863,0.009089893490703518
XGBoost,CIPLA LTD.,0.29999999999883786,-0.0016685503243878863,0.009089893490703518
XGBoost,ASIAN PAINTS LTD.,0.2999999999983825,-0.0016685503243878863,0.009089893490703518
XGBoost,ULTRATECH CEMENT LTD.,0.29999999999883215,-0.0016685503243878863,0.009089893490703518
Ridge,I T C LTD.,2.186507919166303e-12,-0.00023211805572029287,0.009089893490692488
Ridge,H D F C BANK LTD.,0.10000000000091955,-0.00023211805572029287,0.009089893490692488
Ridge,TATA CONSULTANCY SERVICES LTD.,2.1344731537809025e-12,-0.00023211805572029287,0.009089893490692488
Ridge,ASIAN PAINTS LTD.,0.29999999999795873,-0.00023211805572029287,0.009089893490692488
Ridge,ULTRATECH CEMENT LTD.,0.29999999999844024,-0.00023211805572029287,0.009089893490692488
Ridge,CIPLA LTD.,0.2999999999983605,-0.00023211805572029287,0.009089893490692488
Lasso,ASIAN PAINTS LTD.,0.299999999994842,-0.0005655231338183476,0.009089893490614002
Lasso,CIPLA LTD.,0.2999999999944759,-0.0005655231338183476,0.009089893490614002
Lasso,H D F C BANK LTD.,0.1000000000027846,-0.0005655231338183476,0.009089893490614002
Lasso,I T C LTD.,6.21937069673857e-12,-0.0005655231338183476,0.009089893490614002
Lasso,TATA CONSULTANCY SERVICES LTD.,5.581018286404671e-12,-0.0005655231338183476,0.009089893490614002
Lasso,ULTRATECH CEMENT LTD.,0.2999999999960971,-0.0005655231338183476,0.009089893490614002
SVR,ASIAN PAINTS LTD.,0.3,0.01180581793153635,0.008629912575718672
SVR,TATA CONSULTANCY SERVICES LTD.,0.2999999999999996,0.01180581793153635,0.008629912575718672
SVR,H D F C BANK LTD.,0.09999999999999953,0.01180581793153635,0.008629912575718672
SVR,CIPLA LTD.,3.469446951953614e-16,0.01180581793153635,0.008629912575718672
SVR,ULTRATECH CEMENT LTD.,0.3,0.01180581793153635,0.008629912575718672
SVR,I T C LTD.,0.0,0.01180581793153635,0.008629912575718672
