Model,R2,MAE,RMSE
RandomForest,-0.013969988798844257,0.012072486980062639,0.017053429582319653
XGBoost,-0.018158045396529765,0.012184492594201839,0.01708861165512454
Ridge,-0.01299757777561128,0.012152630710860547,0.01704525038529332
Lasso,-0.0006146394658939069,0.012035876901039603,0.016940749004843388
SVR,-1.6755564748920744,0.021529912103391967,0.02770168859482468
